articleID;review1;review2;review3
1303551;7433113|B'cras' b'eu' b'aliquet' b'a' b'hac' b'a'.|accept;7433083|B'ante' b'in'.|reject;7433008|B'amet' b'at' b'a' b'a' b'eget' b'a' b'mus' b'metus' b'lorem' b'nisi' b'nibh' b'leo'.|accept
1303591;7433109|B'duis' b'at' b'a' b'at' b'a' b'ac' b'montes'.|accept;7433077|B'ante' b'in' b'eu' b'a' b'a' b'a' b'nunc' b'a' b'per'.|accept;7433031|B'quis' b'et' b'a' b'a' b'a' b'enim' b'mi' b'a' b'a' b'vitae' b'cum' b'a'.|reject
1303664;7432978|B'erat' b'mi' b'a' b'molestie' b'sollicitudin' b'nunc' b'a'.|accept;7432871|B'cras' b'in' b'at'.|reject;7432971|B'orci' b'ac' b'a' b'a' b'a' b'platea' b'ad' b'ligula' b'a' b'curabitur'.|accept
1303700;7433016|B'enim' b'ad'.|accept;7432967|B'amet' b'in' b'a' b'a' b'vulputate' b'nisi' b'curae' b'consectetuer' b'diam' b'hac'.|reject;7433060|B'arcu' b'eu' b'a' b'ornare' b'neque'.|accept
1303728;7432882|B'enim' b'eu'.|reject;7433057|B'amet' b'at' b'a' b'in' b'ante' b'a' b'aptent'.|accept;7432939|B'enim' b'et' b'a' b'eu' b'ante' b'dis' b'ac'.|accept
1304075;7433021|B'odio' b'et' b'id' b'quis' b'id' b'a' b'a' b'a' b'elit' b'a' b'a' b'a'.|reject;7433026|B'nunc' b'ut' b'a' b'arcu' b'a' b'non' b'eu' b'class'.|accept;7433045|B'nisi' b'mi' b'a' b'mus' b'a' b'a' b'ad' b'interdum' b'massa'.|accept
1304225;7433016|B'urna' b'in' b'a'.|accept;7433088|B'quis' b'ut'.|reject;7432899|B'erat' b'et' b'id' b'elit' b'odio' b'per' b'a' b'vel' b'nec' b'nostra'.|accept
1304402;7433012|B'eget' b'at' b'a' b'eni' b'sit' b'semper'.|accept;7433008|B'eros' b'at' b'in' b'fusce' b'ligula'.|reject;7432985|B'pede' b'mi'.|accept
1304578;7432914|B'ante' b'ad' b'a' b'a' b'a' b'quam' b'a' b'nec' b'a' b'eu' b'mus'.|accept;7433081|B'elit' b'in'.|reject;7433032|B'erat' b'ut' b'in' b'eni' b'et'.|accept
1304663;7433014|B'enim' b'ac' b'a' b'ac' b'ut' b'velit' b'a' b'litora'.|accept;7432996|B'amet' b'et' b'a'.|accept;7433038|B'enim' b'eu' b'ac' b'id'.|reject
1304843;7433080|B'quis' b've'.|reject;7433034|B'orci' b'eu' b'a' b'cras'.|accept;7432998|B'nisl' b'et' b'a' b'ut' b'mauris' b'hac' b'lacinia' b'et' b'amet'.|accept
1304999;7432885|B'nisl' b'ad' b'a' b'mauris' b'a'.|reject;7432974|B'quis' b'in' b'a'.|accept;7433092|B'nibh' b'in' b'a' b'at' b'nibh' b'donec' b'pellentesque' b'cras'.|accept
1305033;7432902|B'quis' b'ac' b'a'.|reject;7433002|B'diam' b'ac' b'quisque' b'torquent'.|accept;7432923|B'nisl' b'mi'.|accept
1305094;7432945|B'odio' b'mi' b'a' b'nisl' b'a' b'massa' b'a' b'orci' b'fusce' b'eni'.|reject;7432993|B'amet' b'ut' b'a' b'ac' b'ultricies' b'primis' b'in' b'a' b'odio' b'a' b'a' b'a' b'class' b'per' b'eget'.|accept;7433040|B'erat' b've' b'a'.|accept
1305199;7432995|B'cras' b'ac' b've' b'luctus' b'porta' b'a' b'ut' b'semper' b'eget' b'eni' b'a' b'sem' b'vel' b'a'.|reject;7433087|B'nunc' b'in'.|accept;7433063|B'quis' b'ut' b'a' b'a' b'et'.|accept
1305257;7432969|B'nibh' b'ad'.|accept;7432982|B'urna' b'et' b'a' b'inceptos' b'diam' b'ad' b'a' b'a' b'augue'.|accept;7433113|B'elit' b'ac' b'a' b'nec' b'ad' b'et' b'a' b'at' b'class'.|reject
1305338;7433077|B'nisi' b'ad'.|accept;7433039|B'enim' b'et' b'ad' b'in' b'id' b'mi'.|reject;7433081|B'elit' b'et' b'a' b'a' b'a' b'a'.|accept
1305360;7432884|B'ante' b'ad' b'a' b'a' b'ac' b'a'.|accept;7433100|B'nunc' b'eu' b'a' b'eni' b'metus' b'dolor' b'in' b'morbi'.|reject;7433042|B'nunc' b'mi' b'a' b'ornare'.|accept
1305554;7432998|B'duis' b'et' b'a' b'turpis'.|reject;7432953|B'cras' b'id' b'a'.|accept;7432884|B'arcu' b'eu' b'a' b'eget' b'a' b'sit' b'ac' b'sociosqu' b'risus' b'orci' b'semper' b'a'.|accept
1305770;7432884|B'enim' b'at' b'enim' b'dui' b'eu'.|accept;7433039|B'ante' b've'.|reject;7432931|B'erat' b'et' b'in'.|accept
1305960;7432938|B'amet' b'eu' b'a' b'sed' b'massa' b'nibh' b'a' b'hendrerit'.|accept;7432944|B'orci' b'et' b'ac' b'nec'.|reject;7432997|B'arcu' b'at'.|accept
1306067;7432934|B'nibh' b'mi' b'a'.|accept;7432986|B'nisi' b'ad' b'a' b'augue' b'nisi' b'eu' b'a'.|reject;7432925|B'nisi' b'at' b'ac' b'in' b'nec' b'a'.|accept
1306345;7432892|B'pede' b'eu'.|reject;7433045|B'orci' b'at'.|accept;7432997|B'ante' b've' b'a' b'a' b'a' b'et' b'a'.|accept
1306613;7433058|B'nunc' b'at' b'a' b'mus' b'lectus' b'elit' b'cum'.|accept;7433069|B'duis' b'ad'.|accept;7433040|B'orci' b'et' b'a' b'a' b'quis' b'mollis'.|reject
1306680;7432982|B'eget' b'ut' b'cras' b'a' b'arcu' b'a' b'a' b'quam' b'a' b'a' b'ac' b'et' b'eni' b'lacus' b'vivamus'.|accept;7433097|B'cras' b'ad' b'a' b'id' b've' b'in' b'non' b'ipsum' b'a' b'ornare' b'donec'.|accept;7433006|B'elit' b'ad' b'a' b'a'.|reject
1306940;7433100|B'eros' b'at' b'ut'.|accept;7432902|B'odio' b'in'.|accept;7432961|B'nisi' b'eu' b'a' b'mi' b'tempus' b'a'.|reject
1306962;7432934|B'arcu' b'ut' b'a' b'a' b'a'.|reject;7432961|B'nibh' b'id' b'ut' b'a' b'a' b'mattis' b'ac'.|accept;7433092|B'eget' b'et' b'a' b'a' b'praesent' b'eros'.|accept
1307084;7432893|B'eget' b'id'.|reject;7433004|B'nisl' b'et'.|accept;7433039|B'nisi' b'at' b'a' b'turpis' b'in'.|accept
1307164;7433083|B'cras' b've' b'a' b'a' b'curabitur' b'dolor' b'ad' b'congue'.|reject;7432992|B'pede' b'at' b'a' b'et' b'cum' b'ut'.|accept;7432958|B'arcu' b'et' b'id' b'eu' b'duis' b'cursus'.|accept
1307174;7432870|B'elit' b'eu' b'a'.|accept;7433042|B'erat' b'ad' b'a' b'mauris' b'a' b'elit' b'porta' b'a' b'purus' b'at' b'augue' b'at' b'semper'.|reject;7432984|B'urna' b'eu'.|accept
1307181;7432994|B'pede' b'et' b'a' b'massa' b'et' b'a' b'tempus' b'a' b'tortor' b'mi' b'a' b'tempus'.|accept;7432986|B'orci' b'id' b'a' b'ac'.|reject;7432991|B'nibh' b've' b'id' b'a' b'id' b'ut' b'in' b'purus' b'et'.|accept
1307268;7432923|B'nisl' b'in' b'a' b'a' b'a' b'a' b'per' b'nibh' b'nisl' b'a' b'a' b'leo' b'at' b'a' b'montes' b'nisi' b'eu' b'a'.|reject;7432906|B'nisi' b'mi'.|accept;7432941|B'nisl' b'ut' b'a' b'a' b'id' b'sem' b'hymenaeos' b'quis' b'ac' b'at'.|accept
1307338;7433112|B'nibh' b'eu' b'a' b'a' b've'.|reject;7432879|B'odio' b'et' b'a' b'a' b'a' b'massa' b'a' b'venenatis' b'a'.|accept;7433071|B'quis' b'mi' b'quam' b'nibh' b'eni' b'a' b'tortor' b'convallis'.|accept
1307342;7433026|B'eros' b'ac' b'a' b'a' b'ad' b'platea' b'enim' b'a' b'a' b'cursus'.|reject;7432944|B'eget' b'at' b'a' b'at' b'mi'.|accept;7433058|B'orci' b'et' b'quam' b'mauris' b'risus' b'in'.|accept
1307422;7433069|B'arcu' b've' b'nisi' b'congue' b'a' b'a' b'ut' b'per' b'sem' b'a' b'proin'.|accept;7433016|B'nisl' b'et' b'a' b'a' b'a' b'ut' b'purus' b'a' b'vel' b'pede'.|accept;7433101|B'odio' b'mi'.|reject
1307615;7432998|B'arcu' b'at'.|reject;7433094|B'nibh' b'ac' b'a' b'fringilla' b'eni' b'ad' b'blandit' b'a' b'tortor'.|accept;7433016|B'erat' b'mi'.|accept
1307659;7432925|B'nisi' b'mi' b'ac'.|accept;7433045|B'duis' b'id' b'a' b've' b'commodo' b'magna' b'nisi' b'neque' b'eu' b'mollis' b'donec' b'eu' b'fermentum'.|accept;7433089|B'urna' b'eu'.|reject
1307667;7432922|B'quam' b've' b'a' b'luctus' b'iaculis' b'urna'.|accept;7432930|B'pede' b'at'.|reject;7433007|B'duis' b've' b'a'.|accept
1307975;7432943|B'nisl' b'in' b'pretium' b'velit' b'a' b'hac' b'a' b'a' b'a' b'nec' b'hac'.|reject;7432937|B'enim' b'in' b'a' b'a' b'a' b'a' b'a' b'a' b'metus'.|accept;7433061|B'quis' b'eu' b'commodo' b'eget' b'a' b'a' b'fermentum'.|accept
1308420;7433029|B'orci' b'eu' b'a' b'sed' b'a' b'a' b'odio' b'a' b'a' b'congue' b'a'.|accept;7432971|B'nunc' b'et'.|reject;7432933|B'nisi' b'ac' b'a' b'ante' b'a' b'dolor' b'a'.|accept
1308470;7433035|B'odio' b've' b'a' b'tempus' b'a' b'sapien' b'a' b'a' b'a' b'sit'.|reject;7433058|B'eros' b'at' b'ad' b'leo'.|accept;7432967|B'enim' b'mi' b'a' b'tempus' b'et' b'primis' b'sociosqu'.|accept
1308545;7433060|B'diam' b'ad' b'a' b'a' b'a' b'cras' b'id' b'sodales' b'a' b'ad'.|reject;7432944|B'pede' b'mi'.|accept;7432892|B'pede' b'ac'.|accept
1308848;7432973|B'quis' b'ac'.|accept;7433075|B'diam' b'et' b'enim'.|accept;7432897|B'nisl' b'in'.|reject
1308935;7432996|B'nunc' b'id' b'quisque'.|reject;7433015|B'orci' b'in' b'ut' b'nam' b'dis' b'mollis' b'et' b'a' b'et'.|accept;7433096|B'arcu' b'et' b'at' b'eu' b'nunc'.|accept
1308936;7432914|B'nisl' b'ut'.|reject;7432876|B'cras' b've' b'vivamus' b'velit' b'a' b'hac'.|accept;7433080|B'eros' b'et'.|accept
1309284;7432989|B'diam' b'ac' b'a' b'a' b'a' b'nam' b'elit'.|accept;7433085|B'eget' b'ad' b'a' b'a' b'a' b'dui' b'nam' b'nisl' b'a'.|accept;7432890|B'odio' b'at'.|reject
1309311;7433108|B'cras' b've' b'a' b'a' b'a' b'a' b'ac' b'a' b'a' b'a' b'a' b'eros'.|accept;7433010|B'urna' b'et' b'a' b'id' b'est' b'venenatis' b'mattis' b'mi' b'a' b'amet'.|reject;7433070|B'enim' b'id' b'mi' b'est' b'id' b'a' b'a' b'vel' b'semper'.|accept
1309390;7433089|B'nunc' b'in' b'a' b'nec'.|reject;7433086|B'orci' b'in' b'a' b'dui' b'donec' b'aenean' b'augue'.|accept;7433101|B'orci' b'mi' b'cras' b'neque' b'et' b'a'.|accept
1309449;7432989|B'diam' b'ac'.|accept;7432965|B'amet' b'ut' b'amet'.|reject;7432940|B'nunc' b'in' b'a' b'a' b'curae' b'netus' b'quam' b'ligula' b'a' b'in' b'ac' b'cum' b'felis' b'maecenas' b'purus'.|accept
1309456;7432943|B'orci' b'in' b'a' b'praesent'.|reject;7432868|B'elit' b'id' b'a' b'lectus' b've' b'a' b'a' b'mattis' b'purus' b'nec' b'a'.|accept;7432903|B'erat' b'et' b'a' b'a' b'enim' b'a' b'a' b'ac' b'erat'.|accept
1309500;7432908|B'nibh' b'ad'.|accept;7432902|B'nibh' b'id' b'a' b'tempus' b'a'.|reject;7432874|B'diam' b'in' b'mi' b'a' b'a'.|accept
1309586;7432979|B'arcu' b'ad'.|accept;7433039|B'quis' b'ut' b'a' b'a' b'a' b'a' b'a' b'a' b'urna' b'risus' b'hac' b'a' b'a' b'eu' b'sapien'.|accept;7433038|B'arcu' b'ut' b'ante' b'a' b'a' b'a' b'a' b'a' b'hac'.|reject
1309610;7433027|B'cras' b'ut'.|accept;7433090|B'quis' b've' b'a' b'a' b'in' b'ornare' b'ligula'.|accept;7433091|B'enim' b'mi' b'ad' b'a' b'quam' b'a' b'a' b'hac' b'magnis' b'iaculis' b'a' b'mi' b'at'.|reject
1309821;7433082|B'orci' b'id' b'et' b'ante' b'in' b'natoque'.|accept;7432926|B'urna' b'ac' b'at' b'a' b'a' b'urna'.|reject;7432952|B'urna' b'at' b'ut' b'ac' b'a' b'magnis' b'a' b'erat' b'a' b'tellus' b'luctus'.|accept
1309847;7433036|B'elit' b'ut' b'a' b'nec' b'a' b'a' b'netus' b'a' b'mus' b'a'.|accept;7432941|B'amet' b'id' b'a' b'a' b'lorem' b'aenean'.|accept;7432942|B'urna' b'ad' b'a' b'ac' b'tempor' b'ac' b'risus' b'litora' b'eu' b'diam'.|reject
1309877;7433030|B'duis' b'mi' b'a' b'ad' b'a' b'cum' b'nisi' b'a' b'amet' b'a' b'eu' b'orci'.|reject;7433109|B'eros' b'at' b'a' b'a' b'conubia' b'est' b'id' b'at' b'a'.|accept;7432905|B'nunc' b'in' b'a' b'a' b'eu' b'imperdiet' b'fames' b'in' b'a' b'massa' b'ac'.|accept
1309939;7433021|B'ante' b'et' b'a' b'a' b'leo' b'non' b'lorem' b'a'.|reject;7432909|B'pede' b'ac' b'a'.|accept;7433083|B'amet' b'ut' b'at' b'leo' b'nullam' b'at' b'montes' b'nam' b'magna'.|accept
1309956;7432978|B'eros' b've' b'a' b'arcu' b'a' b'luctus' b'phasellus' b'integer'.|reject;7432976|B'enim' b'in' b'a' b'nibh' b'a' b'a' b'a' b'a' b'sed' b'semper' b'nulla'.|accept;7433002|B'nibh' b'mi' b'a' b'a' b'a' b'a' b'neque' b'ornare'.|accept
1310058;7433031|B'eros' b'ac' b'diam' b'vel' b'a' b'mi'.|accept;7432885|B'nibh' b've' b'a' b've'.|reject;7432972|B'diam' b'et'.|accept
1310084;7432978|B'amet' b'in' b'a' b'semper' b'sed' b'magnis' b'ornare' b'consectetuer'.|accept;7432877|B'arcu' b'at' b'a' b'dis' b'a' b'a'.|reject;7433103|B'ante' b'ac'.|accept
1310123;7433041|B'amet' b'eu' b'a' b'a'.|accept;7433039|B'nisl' b'et' b'a' b'a' b'at' b'leo' b'nostra' b'in' b'ipsum'.|reject;7432866|B'nunc' b've' b'a' b'cum' b'a' b'augue' b'elit' b've' b'ac' b'sem' b've'.|accept
1310197;7433110|B'enim' b'in' b'a' b'a' b'hac' b'sem' b'luctus'.|accept;7432975|B'nibh' b've' b'a' b'a' b'euismod' b'platea' b'a' b'a' b'a' b'a' b'a' b'a' b'ac' b'sem' b'a'.|reject;7433001|B'elit' b'et' b'id' b'a' b'in' b'mi' b'a' b'a' b'mi' b'enim' b'ante'.|accept
1310321;7432959|B'quis' b'et' b'a' b'a' b'quam' b'ac' b'a' b'proin'.|reject;7432868|B'arcu' b'id' b'a' b'curae' b'sem' b'a' b'a' b'a' b'a' b'elit' b'sem' b'et' b'dictumst' b'neque' b'sociis' b've'.|accept;7433099|B'elit' b've'.|accept
1310352;7432865|B'orci' b'mi' b'a' b'a' b'id' b'at' b'a' b'a' b'varius' b'in' b'a' b'at'.|accept;7432971|B'diam' b'et' b'a' b'libero' b'a'.|reject;7432979|B'diam' b'et' b'a'.|accept
1310355;7432982|B'erat' b'id' b'a' b'sit'.|accept;7432932|B'erat' b'ut' b'a' b'a' b'sem' b'per' b'a' b'diam' b'at'.|accept;7433072|B'odio' b'ac' b'a' b'eu' b'dis' b'eu' b'dapibus' b'nascetur' b'leo'.|reject
1310520;7433092|B'amet' b'mi'.|reject;7433005|B'amet' b've'.|accept;7433086|B'quis' b'id' b'aliquam' b'porta' b'pede' b'a' b'fusce' b'cras' b'tristique' b'sed'.|accept
1310561;7432953|B'eros' b'at' b'viverra' b'purus' b'a'.|accept;7432981|B'nibh' b'in' b'ac' b'fames' b'semper' b'a'.|accept;7433061|B'nunc' b'ad' b'at' b'in' b'est' b'metus'.|reject
1310571;7432887|B'nisi' b'et' b'a' b'duis' b'a' b'interdum' b'a' b'a' b'a' b'elementum' b'per' b'id'.|accept;7432875|B'elit' b've'.|reject;7433020|B'enim' b'et' b'a' b'a' b'a'.|accept
1310744;7432899|B'urna' b'eu'.|accept;7432953|B'duis' b'ac' b'a' b'nam'.|reject;7433016|B'cras' b'eu'.|accept
1310753;7433045|B'nunc' b'ad' b'aliquet' b'duis' b'a' b'a' b'a'.|accept;7433064|B'nisi' b'ac' b've' b'a' b'id' b'a' b'a' b'at'.|reject;7432901|B'odio' b'id' b'mi' b'vel' b'id' b'erat' b'mus' b'ut'.|accept
1310865;7432874|B'odio' b'et' b'a' b'tempor' b'a' b'a' b'a' b'a' b'mi' b'a' b'a'.|accept;7432901|B'pede' b'id' b'amet' b'nisl' b'dictum' b'nam'.|accept;7433044|B'quis' b'at'.|reject
1310927;7432909|B'nibh' b'ad'.|accept;7432922|B'erat' b'eu' b'a'.|reject;7432872|B'cras' b'ut' b'lacinia' b'a' b'netus' b'sit' b'a' b'eu' b'a' b'ac' b'aenean' b'a' b'a'.|accept
1310968;7433104|B'erat' b'mi' b'ut' b'porta' b'ligula' b'morbi' b'a' b'a' b'ac'.|reject;7432961|B'enim' b'at' b'a' b'nunc'.|accept;7432913|B'duis' b'id'.|accept
1311105;7432988|B'nisi' b'in'.|accept;7433022|B'eros' b'ad'.|accept;7433059|B'orci' b've'.|reject
1311177;7433104|B'arcu' b'et' b'a' b'a' b'in' b'vel' b'hac'.|accept;7432950|B'pede' b'ac' b'a' b'duis' b'a' b'felis' b'a' b'ante' b'a' b'placerat' b'a' b'cum' b'ac' b'a'.|reject;7433101|B'erat' b'ad' b'feugiat' b'a' b'class' b'ut' b'a' b'odio' b'semper' b'a' b'nisl' b'a' b'sagittis' b'a'.|accept
1311265;7433055|B'nisl' b'et' b'a' b'magna' b'a' b'id' b'dignissim' b'ac' b'a' b'quam' b'a' b'arcu' b'a' b'a'.|reject;7433101|B'elit' b'ad' b've' b'nunc' b'a' b'class' b'habitasse' b'sit' b'a'.|accept;7433072|B'urna' b'id' b'a' b'mi'.|accept
1311345;7433042|B'nisi' b'id' b'odio' b'hac' b'a' b'fusce' b'quis' b'nisi' b'sit' b'cum'.|accept;7433025|B'erat' b'at' b'a' b'a' b'nostra' b'a' b'consectetuer' b'non' b'sed' b'a' b'sagittis'.|reject;7432907|B'ante' b've' b'egestas' b'volutpat' b'mus' b'a' b'erat'.|accept
1311702;7432963|B'pede' b'in'.|accept;7432962|B'diam' b'id' b'a' b'erat' b'a' b'a' b'mi'.|reject;7433049|B'eget' b'ut' b'a' b'nisl' b'a'.|accept
1311710;7432878|B'eget' b'eu' b'a' b'etiam' b'a' b'adipiscing' b'ac'.|reject;7433031|B'arcu' b'in' b'a' b'semper' b'lacinia' b'eget' b'a' b'a'.|accept;7432950|B'duis' b've' b'a' b'a' b'in' b'a' b'a' b'a' b'a' b'ad'.|accept
1311819;7432922|B'amet' b'eu' b'ut' b'augue' b'a' b'a' b'a' b'a' b'a' b'diam'.|accept;7433089|B'amet' b'ac'.|reject;7432978|B'enim' b'ac'.|accept
1311847;7433103|B'cras' b'eu' b'a' b'eni' b'curae' b'semper' b'mi' b'a'.|accept;7433099|B'orci' b'ut'.|accept;7433026|B'enim' b'mi' b'a' b'congue' b'a' b'mi' b'nascetur' b'a' b'nec' b'platea'.|reject
1312039;7432921|B'quam' b'ad' b'a' b'ante' b'diam' b'etiam' b'nunc' b'ante' b'per'.|reject;7433016|B'arcu' b'id' b'a' b'proin'.|accept;7433076|B'eget' b'at'.|accept
1312070;7433057|B'eget' b'ac' b'laoreet' b'a' b'ad' b'ut' b'sit' b'vivamus' b'consequat'.|accept;7433098|B'erat' b've' b'eu' b'mi' b'ipsum' b'a' b'at' b'a' b'a'.|reject;7432868|B'quis' b'in' b'a'.|accept
1312079;7433047|B'urna' b'id' b'a' b'a' b'felis' b'a' b'cras' b'a' b'est' b'amet' b'a'.|accept;7432981|B'urna' b'at' b'pretium' b'maecenas' b'dis' b'a' b'neque' b'eget' b'et' b'a' b'praesent' b'nisl' b'a' b'fusce'.|accept;7433053|B'duis' b'et' b'a' b'a' b'nec' b'a'.|reject
1312101;7432887|B'odio' b'ad' b'a' b'a' b'convallis' b'pellentesque' b'nibh' b'leo' b'a' b'ante' b'a' b'ipsum' b'enim'.|accept;7433055|B'diam' b'et' b'at' b'ut' b'a' b'a' b'a' b'lacus'.|reject;7433040|B'nisl' b'ad'.|accept
1312298;7433037|B'enim' b'mi'.|accept;7432994|B'arcu' b'ut' b'a'.|reject;7432975|B'urna' b've' b'mi' b'eu' b'fames' b'eu' b'a'.|accept
1312434;7432969|B'nisl' b'ac' b'a' b'ut' b'et' b'hac' b'sem' b'urna' b'sem' b've' b'quam' b'a' b'a' b'nec'.|reject;7432891|B'quam' b'in'.|accept;7433106|B'cras' b'ad' b'a' b'at' b'a'.|accept
1312605;7432899|B'urna' b've' b'pede' b'a'.|accept;7433007|B'urna' b'at' b'in' b'nec' b'at' b'a' b'a' b'ut' b'molestie'.|accept;7433063|B'erat' b'ut' b'a' b'a' b'a' b'morbi' b'amet'.|reject
1312623;7432899|B'eros' b'in'.|accept;7433082|B'diam' b'ac' b'a' b'a' b'a'.|reject;7432915|B'erat' b'id' b'at' b'taciti' b'a' b'ante' b'vitae' b'at' b'a' b'a' b'a'.|accept
1312704;7432895|B'orci' b'id' b'a' b'quis' b'a' b'nulla' b'vel' b'a' b'a'.|accept;7432990|B'amet' b'et' b'urna' b'leo' b'at' b'a' b'ad' b'purus' b'in' b'a'.|reject;7433110|B'diam' b'eu'.|accept
1312813;7433085|B'nisi' b'in' b'a' b'in' b'a' b'in'.|accept;7432929|B'orci' b'at' b'pede' b'sed' b'a' b'cum' b'lacus' b'aenean' b'a' b'nisl' b'sem' b'mi' b'platea'.|accept;7433093|B'nibh' b'et' b'a' b'sed' b'porta' b'eu'.|reject
1312922;7433044|B'nisi' b'in'.|reject;7432996|B'quam' b'in' b'eu' b'a' b'natoque' b'sed' b'donec'.|accept;7432940|B'ante' b'ad'.|accept
1312985;7433103|B'erat' b'ad'.|reject;7432872|B'ante' b'et'.|accept;7433015|B'elit' b'ad' b'mi' b'ac' b'a' b'lectus' b'a' b'et' b'arcu'.|accept
1313086;7432968|B'diam' b've' b'a' b'congue' b'a' b'curabitur' b'a' b'pede' b'a' b'eu'.|accept;7432922|B'nisl' b've'.|reject;7433113|B'nunc' b'ac'.|accept
1313544;7433086|B'quam' b'ac' b'a'.|accept;7432929|B'ante' b'ac' b'a' b'semper' b'dui' b'a' b'a' b'eu' b'urna'.|accept;7433028|B'eget' b'ut' b'a' b'lorem' b'nunc' b'a' b'tempor'.|reject
1313589;7432968|B'cras' b'mi' b'a'.|accept;7432965|B'odio' b've' b'elit' b'taciti' b'a' b'netus' b'eu'.|accept;7433102|B'cras' b'ut' b'a' b'a' b'egestas' b'a' b'in' b'a' b'sit' b'a' b'nec' b'enim' b'a' b'a' b'porta' b'pede' b'curabitur' b'eni'.|reject
1313714;7433082|B'urna' b'ut' b'a' b'a' b'vitae'.|accept;7433097|B'cras' b'id' b'a' b'a' b'eni' b'a' b'lectus'.|reject;7432867|B'nisi' b'et' b'a' b'lobortis' b'cras' b'a' b'a' b'orci' b'a' b'a' b'mus' b'nisl' b'duis' b'a' b'a'.|accept
1313731;7433059|B'duis' b'ut'.|reject;7433061|B'nisl' b'id' b've' b'a' b'eu' b'erat' b'a'.|accept;7432965|B'erat' b'eu' b'a' b'a' b'ridiculus' b'rhoncus' b'a' b'eu' b'donec' b'a'.|accept
1313856;7433031|B'diam' b'ut' b'natoque' b'a' b'mus' b'sapien' b'per' b'felis' b'a' b'lectus'.|reject;7433017|B'enim' b'at' b'a' b'a' b'a' b'nascetur' b'a' b'cum' b'a' b'nec' b'a' b'a' b'aenean' b'commodo' b'odio' b'a' b'mi' b'ac'.|accept;7433023|B'quis' b'ut' b'a' b'a' b'cubilia' b'per'.|accept
1313996;7433029|B'arcu' b'mi' b'a' b'a' b'quisque' b'non' b'a'.|reject;7432917|B'odio' b'at' b've' b'a' b'diam'.|accept;7433012|B'nunc' b'ut' b'amet' b'a' b'a' b'a' b'a' b'amet' b'nec'.|accept
1314010;7432935|B'erat' b'in' b'a' b'a' b'a' b'fermentum'.|accept;7432963|B'nunc' b've' b'id' b'a' b'euismod' b'eu' b'a' b'et' b'odio' b'nec' b'a' b'cras' b'ut' b'a'.|reject;7432893|B'nunc' b'ac' b'a' b'per' b'malesuada'.|accept
1314032;7432943|B'pede' b'at' b'a' b'dis' b'ipsum' b'id' b'lectus' b'ornare'.|accept;7432879|B'eget' b'ad'.|accept;7432999|B'cras' b'in' b'a' b'a' b'a' b'a' b'blandit' b'tellus'.|reject
1314072;7432996|B'nunc' b'id' b'a' b'a' b'eni'.|accept;7432990|B'pede' b'in' b'a' b'nisi' b'in'.|accept;7433082|B'ante' b'in' b'a' b'a' b'a' b'ad' b'varius' b'accumsan' b'in' b'eni'.|reject
1314225;7432928|B'urna' b'ac' b'a' b'a' b'in' b'a' b'montes' b'a' b'ut' b'a' b'eni' b'sapien' b'a' b'elit'.|reject;7433060|B'amet' b'id' b'a' b'a' b'vel' b'odio' b'quis' b'aptent' b'a'.|accept;7433043|B'urna' b'ut' b'a' b'elit' b'a' b'neque' b'auctor'.|accept
1314366;7432923|B'nunc' b'ut' b'a' b'leo' b'a' b'a' b'a' b'nunc' b'eu' b'a' b'ut' b'a' b'purus' b'at' b'etiam' b'mauris'.|reject;7432969|B'nibh' b've' b'a' b'potenti' b'aliquet' b'a' b'pellentesque'.|accept;7432890|B'amet' b'ac' b'a' b'nec' b'neque' b'interdum' b'velit' b'urna' b'diam'.|accept
1314467;7433082|B'nibh' b'mi' b'ut' b'amet' b'a' b'platea' b'a' b've'.|accept;7432984|B'urna' b'in'.|accept;7433103|B'enim' b've' b'a' b'nam' b'massa' b'a' b'ad' b'habitasse'.|reject
1314600;7433045|B'eget' b'et' b'a' b'at' b'platea' b'molestie' b'eu'.|accept;7432905|B'arcu' b'et' b've' b'cum'.|accept;7432888|B'odio' b'eu' b'a' b'a'.|reject
1314644;7432884|B'erat' b'ut' b'blandit' b'a' b'aenean' b'a' b'a' b'eros' b'a' b'a' b'eu'.|accept;7433001|B'quis' b'ad' b'quisque' b'morbi' b'diam' b'cras'.|accept;7432903|B'diam' b'at' b'eu' b'ad' b'nisi' b'justo'.|reject
1314664;7432991|B'ante' b'at' b'quam' b'cum' b'a' b'porta' b'ac' b'sapien' b'quam' b'ac' b'a' b'a' b'a' b'eu' b'fusce'.|reject;7433062|B'cras' b'at' b'a' b'vivamus' b'litora'.|accept;7432888|B'nisi' b'at' b'a' b'a' b'sed' b'tincidunt' b'nibh' b'in'.|accept
1314852;7433106|B'orci' b'ut' b've' b'tempor' b'dolor'.|accept;7433037|B'orci' b'mi' b've' b'dui' b'sem' b'at' b'a' b'a' b'turpis' b'eu' b'a' b'metus' b'a'.|accept;7432941|B'urna' b'in' b'a' b'a' b'et' b'nunc' b'elit' b'vel' b'a' b'per'.|reject
1314925;7432888|B'erat' b'ut'.|accept;7432989|B'eros' b'ad' b'a' b'erat' b'a' b'a' b'a' b'mi' b'odio' b'a' b'a'.|accept;7433095|B'orci' b'eu' b'a' b'velit' b'a'.|reject
1314954;7433019|B'diam' b'ut'.|accept;7432885|B'diam' b'ac' b'a' b'elit' b'a' b'eget'.|reject;7432876|B'cras' b'mi' b'a' b'cras' b'velit' b'mus' b'potenti'.|accept
